Time,T_BL100,MF_BL100,RHO_BL100,T_CORI,MF_CORI,RHO_CORI,DP
"13:39:23,7",20.0,0.0,0.0,26.23361587524414,1.4187594652175903,577.8983764648438,0.6506019830703735
"13:39:24,0",20.0,0.0,0.0,26.238248825073242,1.3952710628509521,583.8455810546875,0.6513181328773499
"13:39:24,2",20.0,0.0,0.0,26.238248825073242,1.3658335208892822,588.7676391601562,0.6598784327507019
"13:39:24,5",20.0,0.0,0.0,26.242876052856445,1.3338441848754883,593.9296264648438,0.6572471857070923
"13:39:24,7",20.0,0.0,0.0,26.254444122314453,1.2996833324432373,597.797607421875,0.6500102281570435
"13:39:25,0",20.0,0.0,0.0,26.24981689453125,1.2630621194839478,600.9212036132812,0.644923985004425
"13:39:25,2",20.0,0.0,0.0,26.24750328063965,1.2249919176101685,603.684326171875,0.641543447971344
"13:39:25,5",20.0,0.0,0.0,26.245187759399414,1.182756781578064,605.745849609375,0.6335011124610901
"13:39:25,7",20.0,0.0,0.0,26.252134323120117,1.139674186706543,606.84716796875,0.6280587911605835
"13:39:26,0",20.0,0.0,0.0,26.252134323120117,1.0924464464187622,606.9199829101562,0.6306596398353577
"13:39:26,2",20.0,0.0,0.0,26.24750328063965,1.0437438488006592,606.0186767578125,0.6385929584503174
"13:39:26,5",20.0,0.0,0.0,26.256757736206055,0.9930881261825562,604.4381103515625,0.6792267560958862
"13:39:26,7",20.0,0.0,0.0,26.254444122314453,0.9407858848571777,601.6465454101562,0.6982483863830566
"13:39:27,0",20.0,0.0,0.0,26.24750328063965,0.8842136263847351,597.5664672851562,0.7065775394439697
"13:39:27,2",20.0,0.0,0.0,26.245187759399414,0.8223470449447632,592.6292114257812,0.7047023773193359
"13:39:27,5",20.0,0.0,0.0,26.254444122314453,0.7619763016700745,586.006103515625,0.7083221077919006
"13:39:27,7",20.0,0.0,0.0,26.254444122314453,0.6964216828346252,578.583251953125,0.7017159461975098
"13:39:28,0",20.0,0.0,0.0,26.261390686035156,0.6321868300437927,570.01806640625,0.6930241584777832
"13:39:28,2",20.0,0.0,0.0,26.256757736206055,0.5750951170921326,562.0064697265625,0.6813823580741882
"13:39:28,5",20.0,0.0,0.0,26.261390686035156,0.49498388171195984,551.761962890625,0.678351879119873
"13:39:28,7",20.0,0.0,0.0,26.254444122314453,0.4041246175765991,540.6390380859375,0.670493483543396
"13:39:29,0",20.0,0.0,0.0,26.263702392578125,0.24566364288330078,532.6680908203125,0.6539502143859863
"13:39:29,2",20.0,0.0,0.0,26.268333435058594,0.07602871209383011,525.7553100585938,0.6396836042404175
"13:39:29,5",20.0,0.0,0.0,26.26601791381836,-0.12553738057613373,520.3489990234375,0.6238930225372314
"13:39:29,7",20.0,0.0,0.0,26.263702392578125,-0.2565847635269165,512.2376708984375,0.6217038631439209
"13:39:30,0",20.0,0.0,0.0,26.263702392578125,-0.3753381073474884,504.576171875,0.6176279187202454
"13:39:30,2",20.0,0.0,0.0,26.256757736206055,-0.5322921276092529,498.0438232421875,0.6055186986923218
"13:39:30,5",20.0,0.0,0.0,26.268333435058594,-0.7358464598655701,492.9635009765625,0.5913090705871582
"13:39:30,7",20.0,0.0,0.0,26.259075164794922,-0.9899671077728271,488.55426025390625,0.5726093053817749
"13:39:31,0",20.0,0.0,0.0,26.268333435058594,-1.3537670373916626,486.396240234375,0.5332929491996765
"13:39:31,2",20.0,0.0,0.0,26.270647048950195,-1.8653994798660278,484.6168518066406,0.489732027053833
"13:39:31,5",20.0,0.0,0.0,26.270647048950195,-2.4874584674835205,483.1233215332031,0.47470909357070923
"13:39:31,7",20.0,0.0,0.0,26.263702392578125,-3.2805914878845215,482.8055114746094,0.6374772191047668
"13:39:32,0",20.0,0.0,0.0,26.270647048950195,-4.310951232910156,482.915771484375,1.040404200553894
"13:39:32,2",20.0,0.0,0.0,26.268333435058594,-5.477327346801758,483.7265319824219,1.3131332397460938
"13:39:32,5",20.0,0.0,0.0,26.263702392578125,-7.014777183532715,484.85687255859375,1.4785358905792236
"13:39:32,7",20.0,0.0,0.0,26.277589797973633,-8.750359535217285,486.2518615722656,1.6250154972076416
"13:39:33,0",20.0,0.0,0.0,26.277589797973633,-11.034714698791504,487.3680725097656,1.7911492586135864
"13:39:33,2",20.0,0.0,0.0,26.261390686035156,-14.48141098022461,488.70355224609375,1.8641725778579712
"13:39:33,5",20.0,0.0,0.0,26.279905319213867,-19.070945739746094,490.424072265625,1.9264038801193237
"13:39:33,7",20.0,0.0,0.0,26.27527618408203,-24.959630966186523,491.9972839355469,1.9843682050704956
"13:39:34,0",20.0,0.0,0.0,26.277589797973633,-29.795026779174805,493.4701843261719,2.0605242252349854
"13:39:34,2",20.0,0.0,0.0,26.279905319213867,-30.42709732055664,494.621826171875,2.024893283843994
"13:39:34,5",20.0,0.0,0.0,26.270647048950195,-27.75177001953125,495.3479919433594,1.9013464450836182
"13:39:34,7",20.0,0.0,0.0,26.282222747802734,-23.20379638671875,495.27813720703125,1.3824433088302612
"13:39:35,0",20.0,0.0,0.0,26.277589797973633,-18.65756607055664,494.15887451171875,0.9414814114570618
"13:39:35,3",20.0,0.0,0.0,26.286848068237305,-14.645064353942871,492.1775207519531,0.6768138408660889
"13:39:35,5",20.0,0.0,0.0,26.282222747802734,-11.450958251953125,489.2488708496094,0.5689272284507751
"13:39:35,8",20.0,0.0,0.0,26.279905319213867,-8.897433280944824,484.7336120605469,0.5194168090820312
"13:39:36,0",20.0,0.0,0.0,26.282222747802734,-6.383845329284668,475.5347595214844,0.5564448237419128
"13:39:36,3",20.0,0.0,0.0,26.284536361694336,-4.377323150634766,461.574462890625,0.4966653883457184
"13:39:36,5",20.0,0.0,0.0,26.272960662841797,-2.9481194019317627,442.517578125,0.39943957328796387
"13:39:36,8",20.0,0.0,0.0,26.282222747802734,-1.8320626020431519,416.7088623046875,0.3716043531894684
"13:39:37,0",20.0,0.0,0.0,26.284536361694336,-1.0660628080368042,386.5201110839844,0.4148367941379547
"13:39:37,3",20.0,0.0,0.0,26.279905319213867,-0.5571272373199463,352.7608642578125,0.47834259271621704
"13:39:37,5",20.0,0.0,0.0,26.279905319213867,-0.24777305126190186,320.68798828125,0.5903991460800171
"13:39:37,8",20.0,0.0,0.0,26.282222747802734,-0.09647197276353836,289.10137939453125,0.7068730592727661
"13:39:38,0",20.0,0.0,0.0,26.284536361694336,-0.027094416320323944,259.9022216796875,0.8793249726295471
"13:39:38,3",20.0,0.0,0.0,26.277589797973633,0.0076097785495221615,232.27926635742188,1.0272427797317505
"13:39:38,5",20.0,0.0,0.0,26.279905319213867,0.03068188577890396,206.95443725585938,1.1953046321868896
"13:39:38,8",20.0,0.0,0.0,26.282222747802734,0.043963801115751266,184.52676391601562,1.379309058189392
"13:39:39,0",20.0,0.0,0.0,26.279905319213867,0.05240125581622124,163.34552001953125,1.5793418884277344
"13:39:39,3",20.0,0.0,0.0,26.277589797973633,0.05824637413024902,143.2201385498047,1.7912671566009521
"13:39:39,5",20.0,0.0,0.0,26.272960662841797,0.059344783425331116,128.11827087402344,1.956845998764038
"13:39:39,8",20.0,0.004951087757945061,0.0,26.26601791381836,0.05619795247912407,118.234375,2.046558141708374
"13:39:40,0",20.0,0.023143574595451355,0.0,26.263702392578125,0.05101878196001053,116.72098541259766,2.6522433757781982
"13:39:40,3",20.0,0.04019481688737869,0.0,26.259075164794922,0.04583382233977318,122.0080795288086,3.234680414199829
"13:39:40,5",20.0,0.05668877437710762,0.0,26.272960662841797,0.04196043312549591,134.32810974121094,3.666745901107788
"13:39:40,8",20.0,0.07147695124149323,0.0,26.26601791381836,0.042040612548589706,151.9687042236328,3.963935613632202
"13:39:41,0",20.0,0.08629299700260162,0.0,26.256757736206055,0.04440523311495781,175.8263397216797,4.190223693847656
"13:39:41,3",20.0,0.09967171400785446,0.0,26.263702392578125,0.04958213120698929,201.12135314941406,4.344782829284668
"13:39:41,5",20.0,0.11324060708284378,0.0,26.272960662841797,0.05953333154320717,230.59376525878906,4.458059310913086
"13:39:41,8",20.0,0.12386453151702881,0.0,26.259075164794922,0.07290934026241302,259.4691162109375,4.6440558433532715
"13:39:42,0",20.0,0.1346219778060913,0.0,26.268333435058594,0.09333693981170654,290.6444396972656,4.788240909576416
"13:39:42,3",20.0,0.15247352421283722,0.0,26.263702392578125,0.13523779809474945,335.2286376953125,4.916773319244385
"13:39:42,5",20.0,0.1781812161207199,0.0,26.256757736206055,0.2059638351202011,383.2229309082031,5.026162624359131
"13:39:42,8",20.0,0.20496927201747894,0.0,26.24981689453125,0.4100000858306885,432.1039733886719,5.140562057495117
"13:39:43,0",20.0,0.2231605052947998,0.0,26.24981689453125,0.8121964335441589,473.68560791015625,5.234620571136475
"13:39:43,3",20.0,0.21911069750785828,0.0,26.24750328063965,1.2438232898712158,499.90997314453125,5.332562446594238
"13:39:43,5",20.0,0.2062147557735443,0.0,26.24750328063965,1.6619482040405273,517.054931640625,5.452358245849609
"13:39:43,8",20.0,0.1897948980331421,0.0,26.228994369506836,2.0242815017700195,526.3707885742188,5.533952713012695
"13:39:44,0",20.0,0.17407484352588654,0.0,26.21510887145996,2.2410032749176025,530.4441528320312,5.694352626800537
"13:39:44,3",20.0,0.15982003509998322,0.0,26.20585823059082,2.35660457611084,535.5534057617188,5.773700714111328
"13:39:44,5",20.0,0.14682616293430328,0.0,26.191978454589844,2.3855323791503906,551.7144165039062,5.83904504776001
"13:39:44,8",20.0,0.13574433326721191,0.0,26.18503761291504,2.3687877655029297,589.0331420898438,5.810068130493164
"13:39:45,0",20.0,0.12482458353042603,0.0,26.18503761291504,2.341461658477783,658.3098754882812,5.711979866027832
"13:39:45,3",20.0,0.1156931146979332,0.0,26.224363327026367,2.315728187561035,749.6356811523438,5.652933120727539
"13:39:45,5",20.0,0.10848432034254074,0.0,26.256757736206055,2.3187484741210938,838.69775390625,5.6538591384887695
"13:39:45,8",20.0,0.08266159892082214,0.0,26.26601791381836,2.3639307022094727,917.8411865234375,5.684820652008057
"13:39:46,0",20.0,0.03666963800787926,0.0,26.277589797973633,2.4465625286102295,967.4420166015625,5.704119682312012
"13:39:46,3",20.0,0.020030470564961433,0.0,26.284536361694336,2.736039400100708,978.1927490234375,5.776378631591797
"13:39:46,5",20.0,0.03191716969013214,0.0,26.284536361694336,3.048295497894287,939.2374267578125,5.835862636566162
"13:39:46,8",20.0,0.006042494438588619,0.0,26.289167404174805,3.0218546390533447,871.9514770507812,5.8792500495910645
"13:39:47,0",20.0,0.0,0.0,26.29148292541504,2.8328003883361816,773.7505493164062,5.9321608543396
"13:39:47,3",20.0,0.0,0.0,26.293794631958008,2.077747344970703,647.8079833984375,6.000232696533203
"13:39:47,5",20.0,0.0,0.0,26.29148292541504,0.547896146774292,528.4087524414062,6.075089931488037
"13:39:47,8",20.0,0.0,0.0,26.282222747802734,8.916439056396484,487.7380065917969,6.182312488555908
"13:39:48,1",20.0,0.0,0.0,26.23593521118164,-3.44171142578125,479.3351745605469,6.338243007659912
"13:39:48,3",20.0,0.057827167212963104,0.0,26.131851196289062,4.324994087219238,354.9934387207031,6.518049716949463
"13:39:48,6",20.0,0.18543706834316254,0.0,25.995529174804688,5.39700984954834,276.792724609375,6.938151836395264
"13:39:48,8",20.0,0.40606287121772766,0.0,25.790185928344727,3.743954658508301,489.37548828125,7.512242317199707
"13:39:49,1",20.0,0.6399959921836853,0.0,25.617406845092773,11.115036964416504,820.818603515625,7.872424125671387
"13:39:49,3",20.0,0.8531097173690796,0.0,25.525362014770508,13.967297554016113,1034.0194091796875,8.144326210021973
"13:39:49,6",20.0,1.0628211498260498,0.0,25.488561630249023,16.48283576965332,1036.5467529296875,8.285279273986816
"13:39:49,8",20.0,1.238012671470642,0.0,25.46556854248047,17.75444984436035,1027.5728759765625,8.321475982666016
"13:39:50,1",20.0,1.3859584331512451,0.0,25.463268280029297,17.15130615234375,1020.6654052734375,8.363214492797852
"13:39:50,3",20.0,1.5250744819641113,0.0,25.449472427368164,17.075428009033203,1015.7700805664062,8.35323715209961
"13:39:50,6",20.0,1.6579747200012207,0.0,25.447175979614258,17.20867156982422,1012.19921875,8.292119979858398
"13:39:50,8",20.0,1.814780592918396,0.0,25.440279006958008,17.35219383239746,1009.4224243164062,8.307129859924316
"13:39:51,1",20.0,1.9736789464950562,0.0,25.41499137878418,17.489362716674805,1007.243408203125,8.55739974975586
"13:39:51,3",20.0,2.1101624965667725,0.0,25.394309997558594,17.605920791625977,1005.7142333984375,9.109286308288574
"13:39:51,6",20.0,2.2407937049865723,0.0,25.375926971435547,17.69870948791504,1004.5759887695312,9.448723793029785
"13:39:51,8",20.0,2.381305694580078,0.0,25.352951049804688,17.812997817993164,1003.8512573242188,9.645413398742676
"13:39:52,1",20.0,2.528982639312744,0.0,25.332277297973633,17.939476013183594,1003.6841430664062,9.762166976928711
"13:39:52,3",20.0,2.692103862762451,0.0,25.31850242614746,18.05217170715332,1003.6419677734375,9.827418327331543
"13:39:52,6",20.0,2.8386454582214355,0.0,25.31161117553711,18.145864486694336,1003.5364379882812,9.856593132019043
"13:39:52,8",20.0,2.972121238708496,0.0,25.300125122070312,18.18915367126465,1003.4168090820312,9.941608428955078
"13:39:53,1",20.0,3.1141743659973145,0.0,25.27945899963379,18.376296997070312,1003.0245971679688,10.104262351989746
"13:39:53,3",20.0,3.2768349647521973,0.0,25.598997116088867,19.36714744567871,973.1942138671875,10.216437339782715
"13:39:53,6",20.0,3.4484379291534424,0.0,25.532262802124023,4.681471347808838,587.9151611328125,10.292945861816406
"13:39:53,8",20.0,3.6160640716552734,0.0,25.36673927307129,42.370582580566406,621.2381591796875,10.391218185424805
"13:39:54,1",20.0,3.774235486984253,0.0,25.274871826171875,31.29160499572754,622.41845703125,10.685487747192383
"13:39:54,3",20.0,3.9702308177948,0.0,25.511560440063477,31.56052017211914,972.1718139648438,10.81539535522461
"13:39:54,6",20.0,4.165286064147949,0.0,25.412694931030273,8.503890991210938,630.696533203125,11.115063667297363
"13:39:54,8",20.0,4.361263751983643,0.0,25.534561157226562,14.293457984924316,622.8577880859375,11.129120826721191
"13:39:55,1",20.0,4.491488456726074,0.0,25.46556854248047,7.097055435180664,471.2106628417969,11.359601020812988
"13:39:55,3",20.0,4.690281391143799,0.0,25.552968978881836,7.683770179748535,590.2140502929688,11.530949592590332
"13:39:55,6",20.0,5.026525497436523,0.0,25.41499137878418,6.063502311706543,476.1420593261719,11.5447359085083
"13:39:55,8",20.0,5.378366947174072,0.0,25.258800506591797,9.851635932922363,564.9710083007812,11.732136726379395
"13:39:56,1",20.0,5.816814422607422,0.0,25.394309997558594,21.286890029907227,925.9984741210938,12.083687782287598
"13:39:56,3",20.0,6.336045265197754,0.0,25.658855438232422,6.200140953063965,551.0488891601562,12.175272941589355
"13:39:56,6",20.0,6.753400802612305,0.0,25.55527114868164,29.477542877197266,86.8478012084961,12.043471336364746
"13:39:56,8",20.0,7.082059860229492,0.0,25.293235778808594,12.034624099731445,409.57122802734375,12.03118896484375
"13:39:57,1",20.0,7.41254186630249,0.0,25.173892974853516,19.787681579589844,872.8203125,12.025186538696289
"13:39:57,3",20.0,7.713952541351318,0.0,25.12343406677246,21.904884338378906,1038.6912841796875,11.736122131347656
"13:39:57,6",20.0,7.954046726226807,0.0,25.1257266998291,21.864227294921875,1034.386962890625,11.531047821044922
"13:39:57,8",20.0,8.177803993225098,0.0,25.2725772857666,22.92839241027832,1023.4522094726562,11.486127853393555
"13:39:58,1",20.0,8.396918296813965,0.0,25.54836654663086,17.384639739990234,747.236083984375,11.411356925964355
"13:39:58,3",20.0,8.550652503967285,0.0,25.332277297973633,10.66301155090332,492.80596923828125,11.370994567871094
"13:39:58,6",20.0,8.644403457641602,0.0,25.183069229125977,12.136577606201172,499.820556640625,11.402068138122559
"13:39:58,8",20.0,8.743048667907715,0.0,25.109678268432617,19.09337615966797,923.9547119140625,11.439509391784668
"13:39:59,1",20.0,8.869011878967285,0.0,25.075284957885742,22.513668060302734,1023.9144287109375,11.555834770202637
"13:39:59,3",20.0,8.988277435302734,0.0,25.05923843383789,23.765310287475586,1021.0480346679688,11.434517860412598
"13:39:59,6",20.0,9.00432300567627,0.0,25.063827514648438,23.584732055664062,1015.56396484375,11.331232070922852
"13:39:59,8",20.0,9.069231033325195,0.0,25.052364349365234,23.512714385986328,1011.28173828125,11.270608901977539
"13:40:00,1",20.0,9.114729881286621,0.0,25.050071716308594,23.450660705566406,1008.1796875,11.263238906860352
"13:40:00,3",20.0,9.148293495178223,0.0,25.04778289794922,23.49897575378418,1005.8673095703125,11.305676460266113
"13:40:00,6",20.0,9.199834823608398,0.0,25.031742095947266,23.6060733795166,1004.1907348632812,11.366531372070312
"13:40:00,8",20.0,9.255982398986816,0.0,25.001953125,23.747024536132812,1003.17236328125,11.447877883911133
"13:40:01,1",20.0,9.309426307678223,0.0,24.99736976623535,23.84630584716797,1002.5955200195312,11.511378288269043
"13:40:01,3",20.0,9.378213882446289,0.0,24.992786407470703,23.93185043334961,1002.2103881835938,11.570412635803223
"13:40:01,6",20.0,9.456032752990723,0.0,24.981332778930664,24.0230712890625,1001.8674926757812,11.613698959350586
"13:40:01,9",20.0,9.534391403198242,0.0,24.979045867919922,24.11510467529297,1001.658203125,11.667440414428711
"13:40:02,1",20.0,9.614508628845215,0.0,24.96759033203125,24.19373893737793,1001.4735717773438,11.661576271057129
"13:40:02,4",20.0,9.68371295928955,0.0,24.95155906677246,24.264320373535156,1001.2590942382812,11.64394474029541
"13:40:02,6",20.0,9.748741149902344,0.0,24.946975708007812,24.338069915771484,1001.2467651367188,11.625688552856445
"13:40:02,9",20.0,9.821122169494629,0.0,24.949270248413086,24.40498161315918,1001.1975708007812,11.614434242248535
"13:40:03,1",20.0,9.877939224243164,0.0,24.93781852722168,24.47483253479004,1001.1764526367188,11.592554092407227
"13:40:03,4",20.0,9.928750038146973,0.0,24.92637062072754,24.549190521240234,1000.9707641601562,11.601648330688477
"13:40:03,6",20.0,9.985418319702148,0.0,24.914918899536133,24.622312545776367,1000.9724731445312,11.622779846191406
"13:40:03,9",20.0,10.024328231811523,0.0,24.91263198852539,24.695022583007812,1000.8670043945312,11.660669326782227
"13:40:04,1",20.0,10.036640167236328,0.0,24.901180267333984,24.761886596679688,1000.8670043945312,11.70727825164795
"13:40:04,4",20.0,10.03354549407959,0.0,24.896608352661133,24.84474754333496,1000.9531860351562,11.780611038208008
"13:40:04,6",20.0,10.068499565124512,0.0,24.8874454498291,24.93117904663086,1000.7509765625,11.869725227355957
"13:40:04,9",20.0,10.160754203796387,0.0,24.873714447021484,25.06049156188965,1000.8002319335938,11.971647262573242
"13:40:05,1",20.0,10.303555488586426,0.0,24.86913299560547,25.27972412109375,1000.7369384765625,12.061868667602539
"13:40:05,4",20.0,10.461881637573242,0.0,24.859983444213867,25.553802490234375,1000.6929321289062,12.142716407775879
"13:40:05,6",20.0,10.632305145263672,0.0,24.857688903808594,25.821182250976562,1000.8037109375,12.197157859802246
"13:40:05,9",20.0,10.823280334472656,0.0,24.848539352416992,26.051557540893555,1000.6613159179688,12.236092567443848
"13:40:06,1",20.0,10.994729042053223,0.0,24.83480453491211,26.24834632873535,1000.6788940429688,12.254016876220703
"13:40:06,4",20.0,11.15517520904541,0.0,24.830232620239258,26.422256469726562,1000.5523071289062,12.255166053771973
"13:40:06,6",20.0,11.294282913208008,0.0,24.8233699798584,26.552501678466797,1000.5206909179688,12.252126693725586
"13:40:06,9",20.0,11.419573783874512,0.0,24.818788528442383,26.668167114257812,1000.5452880859375,12.269659042358398
"13:40:07,1",20.0,11.558134078979492,0.0,24.811925888061523,26.77210235595703,1000.4855346679688,12.281612396240234
"13:40:07,4",20.0,11.694454193115234,0.0,24.802776336669922,26.871679306030273,1000.5364990234375,12.297555923461914
"13:40:07,6",20.0,11.834556579589844,0.0,24.802776336669922,26.975749969482422,1000.4327392578125,12.341092109680176
"13:40:07,9",20.0,12.009109497070312,0.0,24.78904914855957,27.09965705871582,1000.541748046875,12.380340576171875
"13:40:08,1",20.0,12.191967964172363,0.0,24.7799015045166,27.248857498168945,1000.3975830078125,12.434452056884766
"13:40:08,4",20.0,12.368317604064941,0.0,24.777616500854492,27.4019832611084,1000.4310302734375,12.496515274047852
"13:40:08,6",20.0,12.54412841796875,0.0,24.768465042114258,27.53955841064453,1000.4503173828125,12.536600112915039
"13:40:08,9",20.0,12.727387428283691,0.0,24.757030487060547,27.667922973632812,1000.3009033203125,12.584364891052246
"13:40:09,1",20.0,12.9025297164917,0.0,24.754745483398438,27.783069610595703,1000.471435546875,12.60938835144043
"13:40:09,4",20.0,13.076581001281738,0.0,24.741024017333984,27.899368286132812,1000.5013427734375,12.642354011535645
"13:40:09,6",20.0,13.25678825378418,0.0,24.743309020996094,28.01540184020996,1000.2974243164062,12.687710762023926
"13:40:09,9",20.0,13.428969383239746,0.0,24.738739013671875,28.128494262695312,1000.3342895507812,12.730347633361816
"13:40:10,1",20.0,13.601051330566406,0.0,24.729589462280273,28.24652671813965,1000.471435546875,12.781434059143066
"13:40:10,4",20.0,13.77985954284668,0.0,24.725019454956055,28.380043029785156,1000.2147827148438,12.832210540771484
"13:40:10,6",20.0,13.950181007385254,0.0,24.72044563293457,28.50998878479004,1000.4239501953125,12.886385917663574
"13:40:10,9",20.0,14.119865417480469,0.0,24.709014892578125,28.64053726196289,1000.260498046875,12.94311809539795
"13:40:11,1",20.0,14.29575252532959,0.0,24.704442977905273,28.766544342041016,1000.1022338867188,12.98893928527832
"13:40:11,4",20.0,14.463482856750488,0.0,24.69758415222168,28.889448165893555,1000.2745361328125,13.014071464538574
"13:40:11,6",20.0,14.63039493560791,0.0,24.683868408203125,29.017650604248047,1000.1145629882812,13.026642799377441
"13:40:11,9",20.0,14.803597450256348,0.0,24.681581497192383,29.14319610595703,1000.3009033203125,13.031503677368164
"13:40:12,1",20.0,14.967589378356934,0.0,24.679298400878906,29.272127151489258,1000.1268920898438,13.026616096496582
"13:40:12,4",20.0,15.137629508972168,0.0,24.67700958251953,29.402393341064453,1000.2042236328125,13.023879051208496
"13:40:12,6",20.0,15.298678398132324,0.0,24.667865753173828,29.528446197509766,1000.0055541992188,13.037641525268555
"13:40:12,9",20.0,15.455547332763672,0.0,24.665584564208984,29.660118103027344,1000.2376098632812,13.064892768859863
"13:40:13,1",20.0,15.599289894104004,0.0,24.654155731201172,29.788373947143555,1000.0494995117188,13.087806701660156
"13:40:13,4",20.0,15.750651359558105,0.0,24.647302627563477,29.917415618896484,1000.216552734375,13.130411148071289
"13:40:13,6",20.0,15.902844429016113,0.0,24.645015716552734,30.045040130615234,1000.1497192382812,13.192392349243164
"13:40:13,9",20.0,16.067888259887695,0.0,24.64044952392578,30.178997039794922,1000.17431640625,13.263482093811035
"13:40:14,1",20.0,16.22943878173828,0.0,24.635875701904297,30.31207275390625,1000.137451171875,13.323795318603516
"13:40:14,4",20.0,16.3923282623291,0.0,24.63359260559082,30.44605827331543,1000.128662109375,13.395304679870605
"13:40:14,6",20.0,16.56307601928711,0.0,24.62216567993164,30.586462020874023,1000.0494995117188,13.435113906860352
"13:40:14,9",20.0,16.727264404296875,0.0,24.61760139465332,30.721046447753906,1000.06005859375,13.453543663024902
"13:40:15,1",20.0,16.892017364501953,0.0,24.61302947998047,30.86031723022461,1000.1075439453125,13.474658012390137
"13:40:15,4",20.0,17.06454086303711,0.0,24.608461380004883,31.00542640686035,999.8438720703125,13.514225959777832
"13:40:15,7",20.0,17.23093605041504,0.0,24.59246826171875,31.140100479125977,999.9827270507812,13.60301399230957
"13:40:15,9",20.0,17.39762306213379,0.0,24.59246826171875,31.278491973876953,999.98974609375,13.669270515441895
"13:40:16,2",20.0,17.566539764404297,0.0,24.58561897277832,31.41753387451172,1000.0231323242188,13.712929725646973
"13:40:16,4",20.0,17.719940185546875,0.0,24.590187072753906,31.554880142211914,999.8333129882812,13.767241477966309
"13:40:16,7",20.0,17.87229347229004,0.0,24.58333396911621,31.69129753112793,1000.00732421875,13.817107200622559
"13:40:16,9",20.0,18.03148651123047,0.0,24.574199676513672,31.83236312866211,999.9317626953125,13.856870651245117
"13:40:17,2",20.0,18.184282302856445,0.0,24.574199676513672,31.971715927124023,999.8421020507812,13.886189460754395
"13:40:17,4",20.0,18.336851119995117,0.0,24.567346572875977,32.11161422729492,999.9686889648438,13.896187782287598
"13:40:17,7",20.0,18.495248794555664,0.0,24.55364418029785,32.25356674194336,999.7946166992188,13.89731502532959
"13:40:17,9",20.0,18.646032333374023,0.0,24.55364418029785,32.39031982421875,999.68212890625,13.895283699035645
"13:40:18,2",20.0,18.796566009521484,0.0,24.551361083984375,32.53248977661133,999.8087158203125,13.886298179626465
"13:40:18,4",20.0,18.952728271484375,0.0,24.54679298400879,32.67203140258789,999.9000854492188,13.890318870544434
"13:40:18,7",20.0,19.101531982421875,0.0,24.53994369506836,32.81374740600586,999.8737182617188,13.90868091583252
"13:40:18,9",20.0,19.24970245361328,0.0,24.535377502441406,32.9521484375,999.7858276367188,13.944438934326172
"13:40:19,2",20.0,19.402332305908203,0.0,24.53080940246582,33.08735656738281,999.7858276367188,14.003523826599121
"13:40:19,4",20.0,19.546592712402344,0.0,24.519392013549805,33.22800827026367,999.6944580078125,14.072937965393066
"13:40:19,7",20.0,19.6920108795166,0.0,24.521677017211914,33.369056701660156,999.8157348632812,14.14863109588623
"13:40:19,9",20.0,19.856081008911133,0.0,24.507978439331055,33.50519561767578,999.7752685546875,14.20705509185791
"13:40:20,2",20.0,20.004226684570312,0.0,24.505699157714844,33.643760681152344,999.5432739257812,14.284097671508789
"13:40:20,4",20.0,20.148576736450195,0.0,24.507978439331055,33.78425598144531,999.8069458007812,14.311065673828125
"13:40:20,7",20.0,20.297651290893555,0.0,24.501129150390625,33.92269515991211,999.62939453125,14.321297645568848
"13:40:20,9",20.0,20.439924240112305,0.0,24.494281768798828,34.06052017211914,999.5133666992188,14.324516296386719
"13:40:21,2",20.0,20.59019660949707,0.0,24.48743438720703,34.199649810791016,999.7049560546875,14.316448211669922
"13:40:21,4",20.0,20.732818603515625,0.0,24.492002487182617,34.333316802978516,999.6100463867188,14.310568809509277
"13:40:21,7",20.0,20.86532974243164,0.0,24.48287010192871,34.46870422363281,999.52392578125,14.306205749511719
"13:40:21,9",20.0,20.994768142700195,0.0,24.476024627685547,34.605464935302734,999.6803588867188,14.312113761901855
"13:40:22,2",20.0,21.12439727783203,0.0,24.471460342407227,34.739723205566406,999.6082763671875,14.324112892150879
"13:40:22,4",20.0,21.257871627807617,0.0,24.464609146118164,34.87224578857422,999.5573120117188,14.34582805633545
"13:40:22,7",20.0,21.39942741394043,0.0,24.46689224243164,35.00734329223633,999.4518432617188,14.374652862548828
"13:40:22,9",20.0,21.536216735839844,0.0,24.460046768188477,35.137054443359375,999.44482421875,14.417658805847168
"13:40:23,2",20.0,21.673707962036133,0.0,24.455482482910156,35.268978118896484,999.4078979492188,14.456123352050781
"13:40:23,4",20.0,21.816818237304688,0.0,24.460046768188477,35.4031867980957,999.5186767578125,14.490476608276367
"13:40:23,7",20.0,21.954069137573242,0.0,24.444072723388672,35.53411865234375,999.4149169921875,14.53177547454834
